,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
81,1_D1,45.57,101,5/12/15 9:55,126.54789,102.0768,0.611622175,0.806625855,0.02,5.16,NA,NA,356,97,NA,NA,NA,NA,NA,5/12/15 9:00,5/13/15,24,1,HF,5.21,0.1042,26.8836,22
82,1_D1,45.57,101,5/12/15 10:13,125.86434,97.74765,0.604140265,0.776611151,0,5.16,NA,NA,482,57,NA,NA,NA,NA,NA,5/12/15 10:00,5/13/15,25,1,HF,5.21,0,26.8836,22
83,1_D1,45.57,101,5/12/15 10:31,111.14523,80.97789,0.527584898,0.728577286,0.01,5.17,NA,NA,90,16,NA,NA,NA,NA,NA,5/12/15 10:00,5/13/15,25,1,HF,5.21,0.0521,26.9357,22
84,1_D1,45.57,101,5/12/15 10:49,106.49709,83.71209,0.512290603,0.786050492,0.05,5.22,NA,NA,131,17,NA,NA,NA,NA,NA,5/12/15 10:00,5/13/15,25,1,HF,5.21,0.2605,27.1962,22
85,1_D1,45.57,101,5/12/15 11:07,102.21351,77.69685,0.488756159,0.760142666,0,5.22,NA,NA,225,9,NA,NA,NA,NA,NA,5/12/15 11:00,5/13/15,26,1,HF,5.21,0,27.1962,22
86,1_D1,45.57,101,5/12/15 11:25,107.27178,80.52219,0.511815627,0.750637213,0.02,5.24,NA,NA,135,15,NA,NA,NA,NA,NA,5/12/15 11:00,5/13/15,26,1,HF,5.21,0.1042,27.3004,22
87,1_D1,45.57,101,5/12/15 11:43,144.54804,113.51487,0.695211272,0.785308953,0.09,5.33,NA,NA,761,295,NA,NA,NA,NA,NA,5/12/15 11:00,5/13/15,26,1,HF,5.21,0.4689,27.7693,22
88,1_D1,45.57,101,5/12/15 12:01,136.16316,112.23891,0.660755248,0.824297189,0.11,5.44,NA,NA,863,257,NA,NA,NA,NA,NA,5/12/15 12:00,5/13/15,27,1,HF,5.21,0.5731,28.3424,22
89,1_D1,45.57,101,5/12/15 12:19,103.21605,77.0133,0.491951163,0.746136865,0,5.44,NA,NA,212,11,NA,NA,NA,NA,NA,5/12/15 12:00,5/13/15,27,1,HF,5.21,0,28.3424,22
90,1_D1,45.57,101,5/12/15 12:37,105.17556,77.28672,0.499975994,0.734835355,0.01,5.45,NA,NA,49,14,NA,NA,NA,NA,NA,5/12/15 12:00,5/13/15,27,1,HF,5.21,0.0521,28.3945,22
