"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","acclimation"
103,"V15",29.5,18.1074,5.66058,"Full day","HFD",0.426564119,0.077828361,30.71261656,7.723167,91.02464562,72.6092974,0.439034011,0.797968778,104.4056959,NA,0.419493567,0.542837661,-0.012469892,TRUE
104,"V15",29.5,18.1074,5.66058,"Dark","HFD",0.531331864,0.105403667,30.71261656,7.723167,99.71147348,79.25229712,0.480615958,0.794943451,144.7022931,NA,0.633184161,0.796692435,0.050715907,TRUE
105,"V15",29.5,18.1074,5.66058,"Light","HFD",0.321796374,0.050253056,23.81712425,6.318225,82.51879335,66.1046935,0.398318356,0.800931079,64.94861111,NA,0.210254861,0.294271528,-0.076521982,TRUE
106,"V16",26.25,15.7924,5.288555,"Light","HFD",0.295240135,0.030600278,20.12914239,4.899918,80.00646189,63.52866413,0.385568169,0.794194548,104.6470602,NA,0.193862963,0.314105093,-0.090328034,TRUE
107,"V16",26.25,15.7924,5.288555,"Full day","HFD",0.340856652,0.061387139,24.54167895,5.932376,86.06051427,68.27921532,0.414681299,0.793675025,163.7321637,NA,0.410560117,0.590409006,-0.073824647,TRUE
108,"V16",26.25,15.7924,5.288555,"Dark","HFD",0.386473169,0.092174,24.54167895,5.932376,92.24337627,73.13084207,0.444413857,0.793144448,224.0743972,NA,0.631867849,0.872591726,-0.057940688,TRUE
109,"V2",27.02,17.3238,2.510465,"Light","LFD",0.322949273,0.025545667,26.71027658,5.929996,81.05517833,73.16396431,0.400357802,0.898434216,35.9231713,NA,0.134791435,0.171766435,-0.07740853,TRUE
110,"V2",27.02,17.3238,2.510465,"Full day","LFD",0.504350833,0.069810806,36.31325998,7.378579,94.02199332,87.56675337,0.467389505,0.924798734,106.7114486,NA,0.514035514,0.616208411,0.036961328,TRUE
111,"V2",27.02,17.3238,2.510465,"Dark","LFD",0.685752393,0.114075944,36.31325998,7.378579,107.2334652,102.2412932,0.535685957,0.951660695,178.8353538,NA,0.900435142,1.069036085,0.150066437,TRUE
112,"V3",26.65,18.2229,3.203605,"Dark","LFD",0.434543994,0.112263722,30.11870978,8.525714,111.8928358,106.8651783,0.559162553,0.952245196,217.1871934,NA,0.916459198,1.139099764,-0.124618559,TRUE
113,"V3",26.65,18.2229,3.203605,"Full day","LFD",0.420459442,0.088938389,30.11870978,8.525714,100.21677,94.07996945,0.499006737,0.933644533,152.0507477,NA,0.551115888,0.710975584,-0.078547295,TRUE
114,"V3",26.65,18.2229,3.203605,"Light","LFD",0.406374889,0.065613056,22.43560108,7.239862,88.75692771,81.53152374,0.439964917,0.915388327,88.12053241,NA,0.192538194,0.29077963,-0.033590028,TRUE
115,"V4",25.3,15.6914,1.723575,"Full day","LFD",0.441383545,0.083818083,31.77744546,8.665958,91.46175588,83.49165737,0.452792553,0.905289773,191.0800584,NA,2.009553154,2.147330374,-0.011409008,TRUE
116,"V4",25.3,15.6914,1.723575,"Dark","LFD",0.694216134,0.135125222,31.77744546,8.665958,106.9738598,99.21707427,0.531318065,0.923154518,320.0313208,NA,3.808582075,4.019924057,0.162898068,TRUE
117,"V4",25.3,15.6914,1.723575,"Light","LFD",0.188550956,0.032510944,25.9467388,7.095144,76.23691319,68.0574519,0.375721217,0.887755856,64.51678241,NA,0.243839583,0.309414352,-0.187170261,TRUE
118,"V5",24.75,16.1786,2.07731,"Light","LFD",0.357193026,0.050612694,22.15209978,6.919343,78.97205032,74.47701069,0.393600424,0.939664456,63.13625,NA,0.18129375,0.247547685,-0.036407398,TRUE
119,"V5",24.75,16.1786,2.07731,"Full day","LFD",0.372150501,0.088697,26.48133252,8.463202,89.3433544,82.95893557,0.443854742,0.927892903,149.1097313,NA,0.759499883,0.898347079,-0.071704241,TRUE
120,"V5",24.75,16.1786,2.07731,"Dark","LFD",0.387107977,0.126781306,26.48133252,8.463202,99.91034346,91.60089676,0.495057255,0.915899245,236.7053538,NA,1.348615566,1.561425708,-0.107949279,TRUE
121,"V6",26.25,17.40045,1.214505,"Full day","LFD",0.390868342,0.087223542,28.075854,8.009256,90.62772013,83.77478175,0.449818754,0.915370351,157.9869006,NA,0.776095088,0.922914503,-0.058950411,TRUE
122,"V6",26.25,17.40045,1.214505,"Light","LFD",0.227426777,0.056595694,21.97534456,6.838447,80.86657457,71.45621626,0.397725746,0.875719175,95.08858796,NA,0.420081713,0.510511111,-0.170298968,TRUE
123,"V6",26.25,17.40045,1.214505,"Dark","LFD",0.554309907,0.117851389,28.075854,8.009256,100.5965496,96.35544437,0.503020124,0.955865168,222.2234752,NA,1.139683215,1.344092435,0.051289784,TRUE
124,"V7",27.65,17.4676,3.162405,"Dark","LFD",0.585824271,0.116532528,35.66722922,8.387106,102.7950324,98.02813308,0.513534338,0.949669183,269.6096217,NA,1.349138298,1.592539243,0.072289933,TRUE
125,"V7",27.65,17.4676,3.162405,"Light","LFD",0.407705204,0.057500472,30.37473382,7.46843,82.80189196,76.20872532,0.410609106,0.914491883,98.11604167,NA,0.241882176,0.355640278,-0.002903902,TRUE
126,"V7",27.65,17.4676,3.162405,"Full day","LFD",0.496764738,0.0870165,35.66722922,8.387106,92.69323512,87.00359021,0.46153001,0.931895389,182.9602339,NA,0.789682573,0.967579766,0.035234727,TRUE
127,"V8",26.9,17.18825,1.949955,"Full day","LFD",0.403026447,0.088466083,28.90916408,9.358603,94.47625114,87.73411432,0.469364836,0.932227907,146.5086199,NA,0.706664094,0.841586667,-0.066338389,TRUE
128,"V8",26.9,17.18825,1.949955,"Light","LFD",0.379639346,0.080972139,25.14390468,8.426981,83.87355038,81.65854739,0.420860015,0.971682335,60.81034722,NA,0.189347222,0.24843125,-0.041220669,TRUE
129,"V8",26.9,17.18825,1.949955,"Dark","LFD",0.426413548,0.095960028,28.90916408,9.358603,105.3045413,93.93894864,0.518901674,0.891934023,234.03026,NA,1.234987707,1.447362411,-0.092488126,TRUE
130,"V9",30.7,17.19295,8.342995,"Dark","HFD",0.306110656,0.090067333,14.41067244,5.276334,99.24954354,78.15826899,0.477585497,0.786111094,102.6243632,NA,0.508461557,0.63051934,-0.171474841,TRUE
