"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
74,"M5",20.15,18.14,1.025,"Dark","Umass",0.909372222,0,38.1236,NA,106.4722222,108.4166667,0.539515861,1.017677547,0.329039256,6585.25,NA,NA,0.369856361,TRUE
75,"M5",20.15,18.14,1.025,"Full day","Umass",0.508353846,0,39.0786,NA,98.16666667,92.55128205,0.489236551,0.935758561,0.202843604,3963.679487,NA,NA,0.019117295,TRUE
76,"M6",20.05,18.2,1.07,"Dark","Umass",0.92635,0,38.7348,NA,107.7222222,109.6111111,0.545763167,1.01603673,0.248382557,4759.472222,NA,NA,0.380586833,TRUE
77,"M6",20.05,18.2,1.07,"Full day","Umass",0.5348,0,40.874,NA,98.15384615,91.97435897,0.488547949,0.925037702,0.172749957,3286.551282,NA,NA,0.046252051,TRUE
78,"M6",20.05,18.2,1.07,"Light","Umass",0.199185714,0,40.874,NA,89.95238095,76.85714286,0.439506333,0.847038535,0.107922013,2024.047619,NA,NA,-0.240320619,TRUE
79,"M7",19.9,18.355,0.96,"Light","Umass",0.085495238,0,35.7552,NA,87.80952381,71.9047619,0.425584,0.815973693,0.102156348,1872.02381,NA,NA,-0.340088762,TRUE
80,"M7",19.9,18.355,0.96,"Dark","Umass",0.893455556,0,35.4496,NA,99.94444444,103.1111111,0.507921944,1.029889621,0.251654589,4778,NA,NA,0.385533611,TRUE
81,"M7",19.9,18.355,0.96,"Full day","Umass",0.4584,0,35.7552,NA,93.41025641,86.30769231,0.463586128,0.914704121,0.171155536,3213.24359,NA,NA,-0.005186128,TRUE
82,"M8",18.4,16.93,0.87,"Full day","Umass",0.514230769,0,39.346,NA,95.65384615,88.46153846,0.474810269,0.918143185,0.222408197,4296.089744,NA,NA,0.0394205,TRUE
83,"M8",18.4,16.93,0.87,"Dark","Umass",0.825544444,0,38.8876,NA,102.4444444,102,0.516545556,0.994311482,0.353909033,6996.916667,NA,NA,0.308998889,TRUE
84,"M8",18.4,16.93,0.87,"Light","Umass",0.247390476,0,39.346,NA,89.83333333,76.85714286,0.439037167,0.852856073,0.109693195,1981.095238,NA,NA,-0.19164669,TRUE
85,"V1",20.175,14.51665,1.38258,"Full day","Vanderbilt",0.356047819,0.069565529,30.07402342,7.246289,67.30568119,64.39828389,0.336476191,0.944318419,0.183851232,NA,0.610691346,0.785832158,0.019571628,TRUE
86,"V1",20.175,14.51665,1.38258,"Dark","Vanderbilt",0.4641491,0.12124959,29.16027942,7.023488,76.30416535,77.21870796,0.386118606,1.005603172,0.261274541,NA,1.056460648,1.30402662,0.078030494,TRUE
87,"V1",20.175,14.51665,1.38258,"Light","Vanderbilt",0.264396733,0.025746435,30.07402342,7.246289,59.59269476,53.40934897,0.293925549,0.89178863,0.117488395,NA,0.228603373,0.341665476,-0.029528816,TRUE
88,"V10",19.16,13.6533,1.61944,"Dark","Vanderbilt",0.404481679,0.116418205,20.71141734,7.677029,76.58016931,72.45072625,0.381932952,0.935659212,0.203398001,NA,0.988954167,1.198514583,0.022548728,TRUE
89,"V10",19.16,13.6533,1.61944,"Full day","Vanderbilt",0.245261482,0.076029329,20.84722598,7.805935,67.97749498,60.64130678,0.334968594,0.87728303,0.134766641,NA,0.567540064,0.716774679,-0.089707112,TRUE
90,"V10",19.16,13.6533,1.61944,"Light","Vanderbilt",0.110270445,0.041786587,20.84722598,7.805935,60.60377413,50.51894724,0.29471343,0.827246302,0.075939761,NA,0.206327976,0.303854762,-0.184442985,TRUE
91,"V11",19.68,13.59575,1.186955,"Light","Vanderbilt",0.200732197,0.040881087,24.1856424,7.406363,61.92384518,54.0471824,0.303818059,0.865340832,0.008324681,NA,0.132491667,0.142450198,-0.103085861,TRUE
92,"V11",19.68,13.59575,1.186955,"Full day","Vanderbilt",0.284536969,0.073017329,24.1856424,7.406363,69.15875709,63.97583202,0.343311933,0.912463008,0.022536564,NA,0.281170833,0.309332906,-0.058774963,TRUE
93,"V11",19.68,13.59575,1.186955,"Dark","Vanderbilt",0.383383624,0.110921615,23.7690714,7.329558,77.59948766,75.55925657,0.389388119,0.96743888,0.039117094,NA,0.454629861,0.504029398,-0.006004495,TRUE
94,"V12",19.14,13.5901,1.47194,"Full day","Vanderbilt",0.381504164,0.080458388,32.42785394,8.284643,71.16036412,63.43527747,0.350602411,0.879792224,0.186181276,NA,0.708617842,0.887675214,0.030901753,TRUE
95,"V12",19.14,13.5901,1.47194,"Light","Vanderbilt",0.258499649,0.052499978,32.42785394,8.284643,63.72810681,54.23375069,0.311134998,0.844613522,0.118299335,NA,0.253041865,0.379109722,-0.052635349,TRUE
96,"V12",19.14,13.5901,1.47194,"Dark","Vanderbilt",0.526586412,0.113434974,31.42250634,8.203478,79.831331,74.17039204,0.396647727,0.920834043,0.265376874,NA,1.240123148,1.48100162,0.129938685,TRUE
